id_cliente,age,transazioni_uscite,transazioni_entrate,tot_uscite,tot_entrate,n_conti_tot,n_conti_tipo0,n_conti_tipo1,n_conti_tipo2,n_conti_tipo3,n_trans_uscite_tipo0,n_trans_uscite_tipo1,n_trans_uscite_tipo2,n_trans_uscite_tipo3,n_trans_entrate_tipo0,n_trans_entrate_tipo1,n_trans_entrate_tipo2,n_trans_entrate_tipo3,tot_uscite_tipo0,tot_uscite_tipo1,tot_uscite_tipo2,tot_uscite_tipo3,tot_entrate_tipo0,tot_entrate_tipo1,tot_entrate_tipo2,tot_entrate_tipo3
166,57,45,12,-3382.35,842.09,1,0,1,0,0,0,45,0,0,0,12,0,0,0,-3382.35,0,0,0,842.09,0,0
167,42,59,12,-7462.18,592.73,1,0,0,0,1,0,0,0,59,0,0,0,12,0,0,0,-7462.18,0,0,0,592.73
168,35,47,11,-3933.75,1008.77,1,0,0,0,1,0,0,0,47,0,0,0,11,0,0,0,-3933.75,0,0,0,1008.77
169,26,40,9,-2489.41,686.97,1,0,0,1,0,0,0,40,0,0,0,9,0,0,0,-2489.41,0,0,0,686.97,0
170,64,51,10,-4820.7,649.72,1,0,1,0,0,0,51,0,0,0,10,0,0,0,-4820.7,0,0,0,649.72,0,0
171,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,44,62,6,-5005.72,846.46,1,1,0,0,0,62,0,0,0,6,0,0,0,-5005.72,0,0,0,846.46,0,0,0
173,62,54,13,-5026.13,1007.7,1,1,0,0,0,54,0,0,0,13,0,0,0,-5026.13,0,0,0,1007.7,0,0,0
174,53,35,9,-3208.28,768.89,1,0,0,0,1,0,0,0,35,0,0,0,9,0,0,0,-3208.28,0,0,0,768.89
175,44,72,14,-6667.91,1399.22,1,1,0,0,0,72,0,0,0,14,0,0,0,-6667.91,0,0,0,1399.22,0,0,0
176,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,49,111,18,-12913.43,1856.32,2,0,1,0,1,0,56,0,55,0,11,0,7,0,-5958.95,0,-6954.48,0,1510.27,0,346.05
178,36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,28,231,30,-16015.3,2346.38,4,0,2,0,2,0,122,0,109,0,20,0,10,0,-8997.59,0,-7017.71,0,1599.62,0,746.76
180,28,49,9,-4075.91,1385.76,1,1,0,0,0,49,0,0,0,9,0,0,0,-4075.91,0,0,0,1385.76,0,0,0
181,34,45,16,-3509.25,1472.97,1,1,0,0,0,45,0,0,0,16,0,0,0,-3509.25,0,0,0,1472.97,0,0,0
182,63,52,6,-4365.21,357.59,1,1,0,0,0,52,0,0,0,6,0,0,0,-4365.21,0,0,0,357.59,0,0,0
183,42,173,22,-15983.54,2969.62,3,0,1,0,2,0,63,0,110,0,5,0,17,0,-6284.83,0,-9698.71,0,409.17,0,2560.45
184,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,40,99,14,-8955.71,1418.59,2,0,0,1,1,0,0,39,60,0,0,7,7,0,0,-3578.7,-5377.01,0,0,877.27,541.32
186,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,49,64,11,-5447.75,662.04,1,0,1,0,0,0,64,0,0,0,11,0,0,0,-5447.75,0,0,0,662.04,0,0
188,33,51,21,-3423.46,1463.54,1,1,0,0,0,51,0,0,0,21,0,0,0,-3423.46,0,0,0,1463.54,0,0,0
189,59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
191,37,102,27,-8372.32,2406.68,2,2,0,0,0,102,0,0,0,27,0,0,0,-8372.32,0,0,0,2406.68,0,0,0
192,65,41,9,-3916.68,1086.68,1,0,1,0,0,0,41,0,0,0,9,0,0,0,-3916.68,0,0,0,1086.68,0,0
193,52,64,10,-5031.47,1160.52,1,0,0,0,1,0,0,0,64,0,0,0,10,0,0,0,-5031.47,0,0,0,1160.52
194,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
195,33,156,38,-13843.74,3503.84,3,1,1,0,1,56,52,0,48,11,15,0,12,-5284.59,-4958.87,0,-3600.28,1222.28,1570.57,0,710.99
196,62,50,9,-4196.81,476.85,1,0,1,0,0,0,50,0,0,0,9,0,0,0,-4196.81,0,0,0,476.85,0,0
197,38,104,19,-8298.42,2255.24,2,1,0,0,1,53,0,0,51,8,0,0,11,-3286.33,0,0,-5012.09,859.39,0,0,1395.86
198,45,49,7,-6008.1,365.17,1,1,0,0,0,49,0,0,0,7,0,0,0,-6008.1,0,0,0,365.17,0,0,0
199,34,137,25,-8843.8,2375.23,2,0,0,1,1,0,0,75,62,0,0,12,13,0,0,-4556.12,-4287.68,0,0,1339.03,1036.21
